   99.0000   32.5000    0.0000    3.3760    1.0000
   99.0000   32.2500    0.0000    3.3760    1.0000
   99.0000   32.0000    0.0000    3.3760    1.0000
   99.0000   31.7500    0.0000    3.3760    1.0000
   99.0000   31.5000    0.0000    3.3760    1.0000
   99.0000   31.2500    0.0000    3.3760    1.0000
   99.0000   31.0000    0.0000    3.3760    1.0000
   99.0000   30.7500    0.0000    3.3760    1.0000
   99.0000   30.5000    0.0000    3.3760    1.0000
   99.0000   30.2500    0.0000    3.3760    1.0000
   99.0000   30.0000    0.0000    3.3760    1.0000
   99.0000   29.7500    0.0000    3.3760    1.0000
   99.0000   29.5000    0.0000    3.3760    1.0000
   99.0000   29.2500    0.0000    3.3760    1.0000
   99.0000   29.0000    0.0000    3.3760    1.0000
   99.0000   28.7500    0.0000    3.3760    1.0000
   99.0000   28.5000    0.0000    3.3760    1.0000
   99.0000   28.2500    0.0000    3.3760    1.0000
   99.0000   28.0000    0.0000    3.3760    1.0000
   99.0000   27.7500    0.0000    3.3760    1.0000
   99.0000   27.5000    0.0000    3.3760    1.0000
   99.0000   27.2500    0.0000    3.3760    1.0000
   99.0000   27.0000    0.0000    3.3760    1.0000
   99.0000   26.7500    0.0000    3.3760    1.0000
   99.0000   26.5000    0.0000    3.3760    1.0000
   99.0000   26.2500    0.0000    3.3759    1.0000
   99.0000   26.0000    0.0000    3.3754    1.0000
   99.0000   25.7500    0.0000    3.3757    1.0000
   99.0000   25.5000    0.0000    3.3760    1.0000
   99.0000   25.2500    0.0000    3.3760    1.0000
   99.0000   25.0000    0.0000    3.3760    1.0000
   99.2500   32.5000    0.0000    3.3760    1.0000
   99.2500   32.2500    0.0000    3.3765    1.0000
   99.2500   32.0000    0.0000    3.3764    1.0000
   99.2500   31.7500    0.0000    3.3753    1.0000
   99.2500   31.5000    0.0000    3.3752    1.0000
   99.2500   31.2500    0.0000    3.3760    1.0000
   99.2500   31.0000    0.0000    3.3764    1.0000
   99.2500   30.7500    0.0000    3.3765    1.0000
   99.2500   30.5000    0.0000    3.3767    1.0000
   99.2500   30.2500    0.0000    3.3765    1.0000
   99.2500   30.0000    0.0000    3.3759    1.0000
   99.2500   29.7500    0.0000    3.3757    1.0000
   99.2500   29.5000    0.0000    3.3754    1.0000
   99.2500   29.2500    0.0000    3.3746    1.0000
   99.2500   29.0000    0.0000    3.3764    1.0000
   99.2500   28.7500    0.0000    3.3818    1.0001
   99.2500   28.5000    0.0000    3.3836    1.0001
   99.2500   28.2500    0.0000    3.3802    1.0000
   99.2500   28.0000    0.0000    3.3733    0.9999
   99.2500   27.7500    0.0000    3.3720    0.9999
   99.2500   27.5000    0.0000    3.3768    1.0000
   99.2500   27.2500    0.0000    3.3778    1.0000
   99.2500   27.0000    0.0000    3.3746    0.9999
   99.2500   26.7500    0.0000    3.3689    0.9999
   99.2500   26.5000    0.0000    3.3588    0.9999
   99.2500   26.2500    0.0000    3.3340    1.0007
   99.2500   26.0000    0.0000    3.3066    1.0027
   99.2500   25.7500    0.0000    3.3428    1.0014
   99.2500   25.5000    0.0000    3.3712    1.0000
   99.2500   25.2500    0.0000    3.3753    1.0000
   99.2500   25.0000    0.0000    3.3760    1.0000
   99.5000   32.5000    0.0000    3.3760    1.0000
   99.5000   32.2500    0.0000    3.3763    1.0000
   99.5000   32.0000    0.0000    3.3738    1.0000
   99.5000   31.7500    0.0000    3.3650    1.0001
   99.5000   31.5000    0.0000    3.3645    1.0002
   99.5000   31.2500    0.0000    3.3739    1.0001
   99.5000   31.0000    0.0000    3.3769    1.0000
   99.5000   30.7500    0.0000    3.3764    1.0000
   99.5000   30.5000    0.0000    3.3768    1.0000
   99.5000   30.2500    0.0000    3.3765    1.0000
   99.5000   30.0000    0.0000    3.3754    1.0000
   99.5000   29.7500    0.0000    3.3755    1.0000
   99.5000   29.5000    0.0000    3.3732    1.0000
   99.5000   29.2500    0.0000    3.3665    1.0000
   99.5000   29.0000    0.0000    3.3756    1.0000
   99.5000   28.7500    0.0000    3.4146    0.9993
   99.5000   28.5000    0.0000    3.4196    0.9992
   99.5000   28.2500    0.0000    3.3983    0.9993
   99.5000   28.0000    0.0000    3.3422    1.0005
   99.5000   27.7500    0.0000    3.3387    1.0010
   99.5000   27.5000    0.0000    3.3925    0.9994
   99.5000   27.2500    0.0000    3.3914    0.9996
   99.5000   27.0000    0.0000    3.3701    0.9998
   99.5000   26.7500    0.0000    3.3306    1.0006
   99.5000   26.5000    0.0000    3.2755    1.0024
   99.5000   26.2500    0.0000    3.2510    1.0046
   99.5000   26.0000    0.0000    3.2175    1.0091
   99.5000   25.7500    0.0000    3.3061    1.0038
   99.5000   25.5000    0.0000    3.3667    1.0000
   99.5000   25.2500    0.0000    3.3742    1.0000
   99.5000   25.0000    0.0000    3.3760    1.0000
   99.7500   32.5000    0.0000    3.3760    1.0000
   99.7500   32.2500    0.0000    3.3742    1.0000
   99.7500   32.0000    0.0000    3.3623    1.0000
   99.7500   31.7500    0.0000    3.2967    1.0016
   99.7500   31.5000    0.0000    3.3016    1.0011
   99.7500   31.2500    0.0000    3.3555    1.0004
   99.7500   31.0000    0.0000    3.3600    1.0005
   99.7500   30.7500    0.0000    3.3618    1.0002
   99.7500   30.5000    0.0000    3.3693    1.0000
   99.7500   30.2500    0.0000    3.3723    1.0000
   99.7500   30.0000    0.0000    3.3709    1.0000
   99.7500   29.7500    0.0000    3.3744    1.0000
   99.7500   29.5000    0.0000    3.3634    1.0002
   99.7500   29.2500    0.0000    3.2886    1.0023
